"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","EappInt","BartAny","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"4611","66818332","66818332-2012-09-11",10,80,2012-09-11,"HA1",2012,"F","Adult",69.3877551020408,0,1,1,0.5,4,3,0.571428571428571,7,4,0.636363636363636,9,4,0.692307692307692,12,9,0.571428571428571,13,11,0.541666666666667,13,11,0.541666666666667,13,13,0.5,15,15,0.5,17,18,0.485714285714286,23,25,0.479166666666667,26,34,0.433333333333333,40,42,0.48780487804878,52,52,0.5,61,61,0.5,66,64,0.507692307692308,69,66,0.511111111111111
"4752","66843623","66843623-2012-08-15",100,80,2012-08-15,"HA1",2012,"M","NotAdult",4600,0,3,1,0.75,5,1,0.833333333333333,6,1,0.857142857142857,7,1,0.875,8,2,0.8,11,3,0.785714285714286,11,3,0.785714285714286,13,4,0.764705882352941,16,5,0.761904761904762,16,5,0.761904761904762,20,12,0.625,21,16,0.567567567567568,24,18,0.571428571428571,28,22,0.56,37,26,0.587301587301587,41,28,0.594202898550725,45,31,0.592105263157895
"5120","66866543","66866543-2012-09-27",50,0,2012-09-27,"HA1",2012,"F","NotAdult",2276.92307692308,0,1,0,1,2,1,0.666666666666667,2,1,0.666666666666667,4,5,0.444444444444444,7,7,0.5,8,7,0.533333333333333,8,9,0.470588235294118,9,13,0.409090909090909,12,17,0.413793103448276,16,19,0.457142857142857,31,28,0.525423728813559,50,38,0.568181818181818,56,44,0.56,59,50,0.541284403669725,69,61,0.530769230769231,80,71,0.529801324503311,95,86,0.524861878453039
"5309","66878865","66878865-2012-08-29",100,80,2012-08-29,"HA1",2012,"M","Adult",4,1,3,2,0.6,5,4,0.555555555555556,6,6,0.5,7,6,0.538461538461538,9,7,0.5625,12,8,0.6,12,8,0.6,14,9,0.608695652173913,17,11,0.607142857142857,18,11,0.620689655172414,22,19,0.536585365853659,24,24,0.5,27,26,0.509433962264151,32,32,0.5,41,38,0.518987341772152,48,42,0.533333333333333,52,48,0.52
"5793","67006795","67006795-2012-09-25",20,40,2012-09-25,"HA1",2012,"M","Adult",9672.72727272727,1,0,2,0,7,3,0.7,11,5,0.6875,16,9,0.64,19,13,0.59375,24,16,0.6,25,19,0.568181818181818,31,25,0.553571428571429,31,27,0.53448275862069,31,29,0.516666666666667,43,41,0.511904761904762,50,51,0.495049504950495,63,67,0.484615384615385,78,74,0.513157894736842,93,84,0.525423728813559,94,85,0.525139664804469,94,85,0.525139664804469
"5794","67006795","67006795-2012-10-09",20,40,2012-10-09,"HA1",2012,"M","Adult",4844.44444444444,0,1,2,0.333333333333333,8,4,0.666666666666667,12,6,0.666666666666667,18,10,0.642857142857143,24,14,0.631578947368421,29,17,0.630434782608696,30,20,0.6,37,26,0.587301587301587,38,29,0.567164179104478,39,31,0.557142857142857,54,45,0.545454545454545,66,55,0.545454545454545,79,72,0.52317880794702,96,83,0.536312849162011,116,94,0.552380952380952,118,96,0.551401869158878,118,96,0.551401869158878
"5813","67007587","67007587-2012-08-30",10,70,2012-08-30,"HA1",2012,"M","Adult",850,1,1,1,0.5,3,3,0.5,5,4,0.555555555555556,6,4,0.6,7,5,0.583333333333333,9,7,0.5625,11,8,0.578947368421053,12,11,0.521739130434783,15,14,0.517241379310345,16,14,0.533333333333333,18,23,0.439024390243902,30,35,0.461538461538462,37,42,0.468354430379747,49,46,0.515789473684211,52,52,0.5,62,57,0.521008403361345,64,58,0.524590163934426
"6396","67123054","67123054-2012-08-02",70,90,2012-08-02,"HA1",2012,"M","Adult",60.8695652173913,1,0,0,NA,1,3,0.25,6,4,0.6,6,6,0.5,6,8,0.428571428571429,7,8,0.466666666666667,8,8,0.5,11,11,0.5,12,11,0.521739130434783,13,11,0.541666666666667,16,13,0.551724137931034,21,17,0.552631578947368,28,19,0.595744680851064,32,21,0.60377358490566,37,24,0.60655737704918,43,29,0.597222222222222,44,29,0.602739726027397
"6397","67123054","67123054-2012-08-16",80,90,2012-08-16,"HA1",2012,"M","Adult",5.55555555555556,1,1,0,1,6,2,0.75,7,6,0.538461538461538,8,8,0.5,14,11,0.56,15,11,0.576923076923077,15,12,0.555555555555556,15,14,0.517241379310345,15,17,0.46875,17,17,0.5,19,18,0.513513513513513,21,22,0.488372093023256,29,27,0.517857142857143,35,32,0.522388059701492,41,34,0.546666666666667,46,38,0.547619047619048,51,43,0.542553191489362
"6563","67287808","67287808-2012-08-15",90,90,2012-08-15,"HA1",2012,"F","NotAdult",9.09090909090909,0,0,0,NA,2,1,0.666666666666667,9,3,0.75,11,3,0.785714285714286,13,4,0.764705882352941,13,5,0.722222222222222,13,7,0.65,15,7,0.681818181818182,15,7,0.681818181818182,16,8,0.666666666666667,19,14,0.575757575757576,19,14,0.575757575757576,23,20,0.534883720930233,32,23,0.581818181818182,39,25,0.609375,44,29,0.602739726027397,45,31,0.592105263157895
"6750","79617035","79617035-2012-10-09",100,0,2012-10-09,"HA1",2012,"F","Adult",54857.1428571429,0,0,0,NA,3,2,0.6,4,2,0.666666666666667,5,4,0.555555555555556,5,5,0.5,6,5,0.545454545454545,10,7,0.588235294117647,12,7,0.631578947368421,13,8,0.619047619047619,14,9,0.608695652173913,20,15,0.571428571428571,27,16,0.627906976744186,34,23,0.596491228070175,48,36,0.571428571428571,65,48,0.575221238938053,87,60,0.591836734693878,99,74,0.572254335260116
"6779","79618812","79618812-2012-08-14",50,40,2012-08-14,"HA1",2012,"M","Adult",13782.8571428571,0,0,0,NA,0,1,0,2,3,0.4,3,3,0.5,8,8,0.5,8,8,0.5,8,9,0.470588235294118,9,10,0.473684210526316,12,11,0.521739130434783,12,13,0.48,24,20,0.545454545454545,33,24,0.578947368421053,43,28,0.605633802816901,47,29,0.618421052631579,47,29,0.618421052631579,47,29,0.618421052631579,47,29,0.618421052631579
"6780","79618812","79618812-2012-08-28",90,70,2012-08-28,"HA1",2012,"M","Adult",4400,0,1,0,1,2,1,0.666666666666667,6,3,0.666666666666667,7,5,0.583333333333333,12,5,0.705882352941177,14,5,0.736842105263158,14,6,0.7,17,10,0.62962962962963,18,15,0.545454545454545,18,15,0.545454545454545,23,22,0.511111111111111,26,24,0.52,31,29,0.516666666666667,39,35,0.527027027027027,44,37,0.54320987654321,50,44,0.531914893617021,53,46,0.535353535353535
"6888","79623797","79623797-2012-08-30",10,40,2012-08-30,"HA1",2012,"M","Adult",872.222222222222,1,1,1,0.5,2,3,0.4,2,4,0.333333333333333,4,5,0.444444444444444,11,9,0.55,12,9,0.571428571428571,16,14,0.533333333333333,18,17,0.514285714285714,20,18,0.526315789473684,23,21,0.522727272727273,27,23,0.54,31,31,0.5,35,39,0.472972972972973,44,46,0.488888888888889,52,52,0.5,63,58,0.520661157024793,64,58,0.524590163934426
"7076","79630840","79630840-2012-10-09",70,70,2012-10-09,"HA1",2012,"F","NotAdult",35200,0,0,1,0,0,1,0,3,7,0.3,8,10,0.444444444444444,17,17,0.5,21,19,0.525,25,23,0.520833333333333,40,31,0.563380281690141,44,39,0.530120481927711,44,40,0.523809523809524,60,51,0.540540540540541,75,64,0.539568345323741,92,73,0.557575757575758,107,87,0.551546391752577,113,94,0.545893719806763,118,96,0.551401869158878,118,96,0.551401869158878
"7091","79632292","79632292-2012-09-13",100,10,2012-09-13,"HA1",2012,"M","Adult",354.545454545455,0,2,1,0.666666666666667,4,2,0.666666666666667,5,2,0.714285714285714,6,3,0.666666666666667,8,4,0.666666666666667,9,5,0.642857142857143,10,5,0.666666666666667,12,8,0.6,12,10,0.545454545454545,12,10,0.545454545454545,18,13,0.580645161290323,22,19,0.536585365853659,33,28,0.540983606557377,41,35,0.539473684210526,56,49,0.533333333333333,76,60,0.558823529411765,82,72,0.532467532467532
"7190","79637279","79637279-2012-09-12",0,100,2012-09-12,"HA1",2012,"M","Adult",12.1212121212121,1,2,0,1,6,1,0.857142857142857,7,1,0.875,8,3,0.727272727272727,9,5,0.642857142857143,9,6,0.6,10,9,0.526315789473684,12,12,0.5,13,12,0.52,13,16,0.448275862068966,15,20,0.428571428571429,23,26,0.469387755102041,30,35,0.461538461538462,43,45,0.488636363636364,52,51,0.504854368932039,63,66,0.488372093023256,75,74,0.503355704697987
"7218","79638280","79638280-2012-09-27",30,60,2012-09-27,"HA1",2012,"F","Adult",172.093023255814,1,0,0,NA,6,1,0.857142857142857,10,2,0.833333333333333,11,2,0.846153846153846,17,8,0.68,22,14,0.611111111111111,24,21,0.533333333333333,26,26,0.5,30,28,0.517241379310345,33,31,0.515625,55,56,0.495495495495495,67,66,0.503759398496241,83,75,0.525316455696203,94,83,0.531073446327684,98,86,0.532608695652174,98,86,0.532608695652174,98,86,0.532608695652174
"7260","79639272","79639272-2012-10-10",0,90,2012-10-10,"HA1",2012,"M","Adult",444.444444444444,0,4,1,0.8,11,1,0.916666666666667,14,4,0.777777777777778,14,7,0.666666666666667,17,12,0.586206896551724,18,12,0.6,19,15,0.558823529411765,21,19,0.525,25,19,0.568181818181818,26,21,0.553191489361702,36,30,0.545454545454545,43,43,0.5,57,56,0.504424778761062,70,66,0.514705882352941,86,80,0.518072289156627,106,95,0.527363184079602,119,105,0.53125
"7321","79769626","79769626-2012-10-09",40,80,2012-10-09,"HA1",2012,"F","Adult",16933.3333333333,1,1,0,1,2,3,0.4,3,5,0.375,6,8,0.428571428571429,10,17,0.37037037037037,16,26,0.380952380952381,18,29,0.382978723404255,29,34,0.46031746031746,35,38,0.479452054794521,38,40,0.487179487179487,62,54,0.53448275862069,80,65,0.551724137931034,92,76,0.547619047619048,104,83,0.556149732620321,115,94,0.550239234449761,118,96,0.551401869158878,118,96,0.551401869158878
"7328","79770053","79770053-2012-10-25",10,20,2012-10-25,"HA1",2012,"M","Adult",11.7647058823529,0,2,1,0.666666666666667,9,8,0.529411764705882,13,13,0.5,22,15,0.594594594594595,28,25,0.528301886792453,31,26,0.543859649122807,33,26,0.559322033898305,35,28,0.555555555555556,39,30,0.565217391304348,40,31,0.563380281690141,58,42,0.58,66,53,0.554621848739496,80,65,0.551724137931034,95,84,0.53072625698324,114,106,0.518181818181818,136,129,0.513207547169811,147,138,0.515789473684211
"7401","79774854","79774854-2012-08-29",50,50,2012-08-29,"HA1",2012,"F","Adult",240,1,0,0,NA,1,2,0.333333333333333,1,6,0.142857142857143,4,7,0.363636363636364,6,8,0.428571428571429,6,10,0.375,8,13,0.380952380952381,14,14,0.5,17,15,0.53125,18,16,0.529411764705882,29,31,0.483333333333333,52,52,0.5,58,54,0.517857142857143,60,54,0.526315789473684,60,54,0.526315789473684,60,54,0.526315789473684,60,54,0.526315789473684
"7422","79775849","79775849-2012-10-09",100,40,2012-10-09,"HA1",2012,"F","Adult",60.7142857142857,1,1,0,1,4,1,0.8,8,1,0.888888888888889,10,3,0.769230769230769,14,4,0.777777777777778,15,6,0.714285714285714,20,10,0.666666666666667,24,13,0.648648648648649,24,14,0.631578947368421,30,16,0.652173913043478,41,31,0.569444444444444,50,36,0.581395348837209,62,46,0.574074074074074,73,59,0.553030303030303,86,71,0.547770700636943,102,88,0.536842105263158,112,95,0.541062801932367
"7456","79776883","79776883-2012-11-07",90,80,2012-11-07,"HA1",2012,"M","Adult",7.14285714285714,1,2,3,0.4,10,12,0.454545454545455,19,20,0.487179487179487,22,22,0.5,29,31,0.483333333333333,31,35,0.46969696969697,35,35,0.5,38,39,0.493506493506494,42,46,0.477272727272727,43,51,0.457446808510638,57,58,0.495652173913044,66,71,0.481751824817518,82,90,0.476744186046512,101,105,0.490291262135922,125,119,0.512295081967213,142,138,0.507142857142857,148,147,0.501694915254237
"7545","79781605","79781605-2012-10-09",60,40,2012-10-09,"HA1",2012,"F","Adult",12600,1,1,0,1,4,3,0.571428571428571,7,4,0.636363636363636,10,10,0.5,14,13,0.518518518518518,18,15,0.545454545454545,19,16,0.542857142857143,26,19,0.577777777777778,30,20,0.6,34,23,0.596491228070175,67,49,0.577586206896552,88,69,0.560509554140127,104,93,0.527918781725888,115,96,0.545023696682464,118,96,0.551401869158878,118,96,0.551401869158878,118,96,0.551401869158878
"7563","79782524","79782524-2012-11-07",80,70,2012-11-07,"HA1",2012,"F","Adult",5719.14893617021,0,0,0,NA,4,8,0.333333333333333,8,12,0.4,14,19,0.424242424242424,27,31,0.46551724137931,34,37,0.47887323943662,39,39,0.5,44,50,0.468085106382979,53,55,0.490740740740741,54,57,0.486486486486487,69,71,0.492857142857143,82,89,0.47953216374269,102,108,0.485714285714286,125,125,0.5,142,140,0.50354609929078,154,149,0.508250825082508,156,150,0.509803921568627
"7565","79782524","79782524-2012-11-21",100,100,2012-11-21,"HA1",2012,"F","Adult",3.2258064516129,0,1,0,1,7,5,0.583333333333333,7,7,0.5,16,12,0.571428571428571,21,17,0.552631578947368,22,18,0.55,26,27,0.490566037735849,30,33,0.476190476190476,30,35,0.461538461538462,32,40,0.444444444444444,39,52,0.428571428571429,53,66,0.445378151260504,66,79,0.455172413793103,78,93,0.456140350877193,100,111,0.4739336492891,123,127,0.492,140,141,0.498220640569395
"7659","79786360","79786360-2012-08-28",30,10,2012-08-28,"HA1",2012,"F","NotAdult",300,0,0,0,NA,1,0,1,4,1,0.8,7,4,0.636363636363636,9,7,0.5625,10,7,0.588235294117647,11,7,0.611111111111111,15,11,0.576923076923077,16,14,0.533333333333333,18,15,0.545454545454545,21,21,0.5,26,26,0.5,31,27,0.53448275862069,34,31,0.523076923076923,39,36,0.52,50,44,0.531914893617021,54,46,0.54
"7662","79786360","79786360-2012-09-11",30,30,2012-09-11,"HA1",2012,"F","Adult",14.2857142857143,0,0,0,NA,2,0,1,6,3,0.666666666666667,9,5,0.642857142857143,13,11,0.541666666666667,17,14,0.548387096774194,18,17,0.514285714285714,24,21,0.533333333333333,26,24,0.52,26,25,0.509803921568627,34,35,0.492753623188406,38,44,0.463414634146341,46,50,0.479166666666667,61,60,0.504132231404959,70,66,0.514705882352941,71,67,0.514492753623188,71,67,0.514492753623188
"7670","79786569","79786569-2012-09-27",60,100,2012-09-27,"HA1",2012,"M","Adult",511.111111111112,0,2,3,0.4,3,9,0.25,5,10,0.333333333333333,10,13,0.434782608695652,13,16,0.448275862068966,15,16,0.483870967741935,17,20,0.459459459459459,18,23,0.439024390243902,19,25,0.431818181818182,20,30,0.4,34,39,0.465753424657534,53,45,0.540816326530612,60,52,0.535714285714286,69,62,0.526717557251908,78,67,0.537931034482759,85,77,0.524691358024691,94,85,0.525139664804469
"7671","79786569","79786569-2012-10-09",60,70,2012-10-09,"HA1",2012,"M","Adult",61800,0,0,0,NA,2,4,0.333333333333333,3,6,0.333333333333333,4,9,0.307692307692308,12,14,0.461538461538462,17,16,0.515151515151515,22,22,0.5,28,29,0.491228070175439,39,37,0.513157894736842,43,40,0.518072289156627,69,62,0.526717557251908,86,67,0.562091503267974,98,78,0.556818181818182,113,93,0.548543689320388,117,96,0.549295774647887,118,96,0.551401869158878,118,96,0.551401869158878
"7731","79790568","79790568-2012-10-09",90,80,2012-10-09,"HA1",2012,"M","Adult",38.0952380952381,0,2,2,0.5,10,8,0.555555555555556,16,11,0.592592592592593,17,12,0.586206896551724,23,17,0.575,24,19,0.558139534883721,28,19,0.595744680851064,31,21,0.596153846153846,34,28,0.548387096774194,35,31,0.53030303030303,45,36,0.555555555555556,51,44,0.536842105263158,62,54,0.53448275862069,77,65,0.542253521126761,95,75,0.558823529411765,108,88,0.551020408163265,113,94,0.545893719806763
"7882","79795857","79795857-2012-09-13",30,100,2012-09-13,"HA1",2012,"M","Adult",21.0526315789474,0,1,2,0.333333333333333,3,7,0.3,3,8,0.272727272727273,5,10,0.333333333333333,7,12,0.368421052631579,9,16,0.36,14,18,0.4375,17,21,0.447368421052632,20,23,0.465116279069767,21,25,0.456521739130435,33,34,0.492537313432836,42,38,0.525,51,51,0.5,65,57,0.532786885245902,73,67,0.521428571428571,80,73,0.522875816993464,90,80,0.529411764705882
"7894","79796354","79796354-2012-09-11",80,20,2012-09-11,"HA1",2012,"M","Adult",61.5384615384615,1,0,0,NA,1,2,0.333333333333333,2,3,0.4,4,7,0.363636363636364,10,10,0.5,11,11,0.5,13,12,0.52,15,12,0.555555555555556,15,14,0.517241379310345,17,14,0.548387096774194,22,19,0.536585365853659,29,25,0.537037037037037,38,35,0.520547945205479,57,46,0.553398058252427,63,61,0.508064516129032,66,67,0.496240601503759,70,67,0.510948905109489
"7955","79797834","79797834-2012-08-28",60,80,2012-08-28,"HA1",2012,"F","NotAdult",540,1,0,0,NA,0,3,0,1,5,0.166666666666667,4,8,0.333333333333333,7,11,0.388888888888889,10,12,0.454545454545455,10,14,0.416666666666667,12,15,0.444444444444444,15,18,0.454545454545455,18,20,0.473684210526316,29,26,0.527272727272727,34,30,0.53125,40,33,0.547945205479452,44,38,0.536585365853659,52,45,0.536082474226804,54,46,0.54,54,46,0.54
